CUSTOMERID,INVOICEID,INVOICEDATE,AMOUNT,QUANTITY,PAYMENTMETHOD
CUST0402,INV01919,2023-04-19 17:55:03.000,22.66,1,Gift Card
CUST0312,INV02949,2023-04-19 22:23:02.000,471.88,9,Gift Card
CUST0216,INV02840,2023-04-19 23:43:05.000,393.69,9,PayPal
CUST0288,INV02360,2023-04-20 00:29:22.000,365.60,3,PayPal
CUST0482,INV00087,2023-04-20 01:12:47.000,193.96,3,Gift Card
CUST0220,INV03394,2023-04-20 04:46:12.000,223.26,6,PayPal
CUST0487,INV04901,2023-04-20 07:27:04.000,445.93,9,Gift Card
CUST0068,INV02857,2023-04-20 07:44:56.000,221.49,6,Gift Card
CUST0155,INV04119,2023-04-20 08:10:44.000,224.17,6,Credit Card
CUST0056,INV04876,2023-04-20 11:36:27.000,245.22,1,PayPal
CUST0403,INV02876,2023-04-20 12:53:29.000,182.20,9,Credit Card
CUST0073,INV04648,2023-04-20 13:34:17.000,293.99,8,Credit Card
CUST0201,INV01818,2023-04-20 21:15:48.000,120.30,7,Gift Card
CUST0223,INV00559,2023-04-20 22:05:48.000,389.17,3,PayPal
CUST0192,INV03322,2023-04-20 23:08:49.000,48.28,8,Bank Transfer
CUST0312,INV00543,2023-04-20 23:24:56.000,127.95,9,PayPal
CUST0337,INV00680,2023-04-21 01:25:03.000,224.00,3,Credit Card
CUST0073,INV04190,2023-04-21 03:39:25.000,162.09,9,Bank Transfer
CUST0411,INV00320,2023-04-21 04:38:30.000,341.62,7,Credit Card
CUST0200,INV00360,2023-04-21 07:03:25.000,126.42,5,Credit Card
CUST0497,INV02123,2023-04-21 08:53:41.000,336.24,6,Credit Card
CUST0252,INV01032,2023-04-21 11:54:04.000,432.37,1,Bank Transfer
CUST0349,INV01504,2023-04-21 15:29:25.000,34.44,4,Credit Card
CUST0055,INV02263,2023-04-21 16:43:55.000,11.55,5,Gift Card
CUST0073,INV03131,2023-04-21 22:31:26.000,453.60,7,Bank Transfer
CUST0107,INV03963,2023-04-21 23:05:25.000,284.98,7,PayPal
CUST0062,INV01476,2023-04-22 00:25:29.000,70.81,3,Bank Transfer
CUST0120,INV01059,2023-04-22 05:02:38.000,490.26,6,Credit Card
CUST0381,INV01855,2023-04-22 11:26:00.000,103.11,2,PayPal
CUST0164,INV02595,2023-04-22 19:54:43.000,262.90,4,Gift Card
CUST0292,INV03653,2023-04-23 19:09:20.000,231.37,8,PayPal
CUST0075,INV02190,2023-04-24 00:22:54.000,303.41,9,PayPal
CUST0272,INV03430,2023-04-24 01:31:32.000,91.17,2,Credit Card
CUST0060,INV00033,2023-04-24 08:07:27.000,343.34,10,Gift Card
CUST0410,INV01555,2023-04-24 13:02:41.000,62.59,7,Gift Card
CUST0208,INV02324,2023-04-24 14:13:14.000,220.75,4,Bank Transfer
CUST0193,INV01209,2023-04-24 20:27:18.000,305.46,5,Gift Card
CUST0373,INV01695,2023-04-24 21:49:22.000,202.89,6,Credit Card
CUST0065,INV00679,2023-04-24 23:16:22.000,75.80,2,Credit Card
CUST0278,INV04244,2023-04-25 01:51:55.000,452.58,4,Bank Transfer
CUST0332,INV00988,2023-04-25 06:37:53.000,188.23,3,Credit Card
CUST0320,INV04942,2023-04-25 10:00:25.000,368.37,6,Bank Transfer
CUST0033,INV00037,2023-04-25 10:03:04.000,275.17,1,Credit Card
CUST0440,INV04681,2023-04-26 05:45:17.000,180.95,7,Credit Card
CUST0078,INV03409,2023-04-26 07:09:43.000,52.57,7,Bank Transfer
CUST0402,INV02814,2023-04-26 07:51:27.000,199.64,4,Credit Card
CUST0327,INV04162,2023-04-26 08:40:30.000,191.78,1,PayPal
CUST0185,INV00962,2023-04-26 12:48:39.000,348.42,7,Bank Transfer
CUST0173,INV04646,2023-04-26 12:50:49.000,409.03,2,Gift Card
CUST0368,INV03619,2023-04-26 16:48:25.000,350.77,9,PayPal
CUST0454,INV04619,2023-04-26 20:03:17.000,258.22,9,Gift Card
CUST0136,INV04621,2023-04-27 01:41:08.000,317.05,3,Bank Transfer
CUST0478,INV02606,2023-04-27 02:15:47.000,246.82,6,Gift Card
CUST0075,INV04836,2023-04-27 04:40:06.000,88.43,5,PayPal
CUST0062,INV01641,2023-04-27 05:51:08.000,215.13,9,Gift Card
CUST0033,INV03927,2023-04-27 15:21:02.000,75.67,1,Bank Transfer
CUST0441,INV04026,2023-04-27 15:48:50.000,98.22,1,Gift Card
CUST0245,INV02081,2023-04-28 01:12:29.000,93.52,1,Bank Transfer
CUST0234,INV04926,2023-04-28 04:02:34.000,485.38,10,PayPal
CUST0108,INV04809,2023-04-28 05:11:08.000,298.40,3,Credit Card
CUST0369,INV03712,2023-04-28 10:38:25.000,482.83,9,Gift Card
CUST0095,INV02927,2023-04-28 11:49:02.000,150.08,8,Bank Transfer
CUST0197,INV00443,2023-04-28 12:35:53.000,466.04,7,Bank Transfer
CUST0371,INV04121,2023-04-28 14:04:01.000,287.95,3,Bank Transfer
CUST0331,INV02522,2023-04-28 17:51:10.000,193.41,2,Credit Card
CUST0086,INV02600,2023-04-28 23:39:19.000,147.00,9,PayPal
CUST0287,INV02609,2023-04-29 00:52:19.000,358.20,6,Bank Transfer
CUST0280,INV04988,2023-04-29 03:25:59.000,388.75,5,PayPal
CUST0272,INV03730,2023-04-29 08:07:39.000,444.68,2,Gift Card
CUST0228,INV04203,2023-04-29 08:51:43.000,214.41,2,PayPal
CUST0012,INV04024,2023-04-29 12:18:07.000,335.04,2,Bank Transfer
CUST0202,INV04624,2023-04-29 13:46:24.000,488.61,6,Gift Card
CUST0427,INV02545,2023-04-29 15:29:37.000,480.02,8,PayPal
CUST0180,INV01978,2023-04-30 00:08:57.000,175.13,8,Bank Transfer
CUST0291,INV04623,2023-04-30 00:19:59.000,404.95,3,Bank Transfer
CUST0467,INV02674,2023-04-30 04:52:16.000,12.41,7,Gift Card
CUST0073,INV04499,2023-04-30 11:10:25.000,209.24,10,Bank Transfer
CUST0439,INV00278,2023-04-30 15:53:49.000,118.46,4,PayPal
CUST0376,INV03586,2023-04-30 21:33:28.000,355.99,2,Credit Card
CUST0074,INV02552,2023-04-30 23:34:13.000,34.65,6,PayPal
CUST0271,INV02051,2023-04-30 23:43:39.000,151.03,3,PayPal
CUST0415,INV00117,2023-05-01 06:45:32.000,358.28,1,Bank Transfer
CUST0497,INV04153,2023-05-01 08:39:21.000,489.73,4,Bank Transfer
CUST0020,INV04793,2023-05-01 10:22:00.000,147.71,7,Credit Card
CUST0132,INV04319,2023-05-01 13:53:51.000,352.39,2,Credit Card
CUST0057,INV01514,2023-05-01 13:58:33.000,32.14,1,Bank Transfer
CUST0409,INV04412,2023-05-01 17:49:46.000,298.46,5,PayPal
CUST0284,INV04405,2023-05-01 17:52:17.000,171.59,1,Gift Card
CUST0099,INV02234,2023-05-01 19:52:38.000,339.11,6,Gift Card
CUST0079,INV03807,2023-05-01 21:35:30.000,108.65,2,Credit Card
CUST0156,INV04808,2023-05-02 01:15:13.000,131.98,2,Credit Card
CUST0097,INV03555,2023-05-02 07:59:34.000,298.60,5,PayPal
CUST0206,INV02008,2023-05-02 09:18:50.000,108.30,6,Credit Card
CUST0277,INV02741,2023-05-02 09:27:44.000,32.94,8,Bank Transfer
CUST0173,INV02348,2023-05-02 12:15:33.000,11.34,8,PayPal
CUST0485,INV04764,2023-05-02 12:25:37.000,289.74,10,PayPal
CUST0078,INV03019,2023-05-02 13:02:26.000,323.57,8,PayPal
CUST0013,INV04889,2023-05-02 18:59:34.000,202.67,10,PayPal
CUST0145,INV04018,2023-05-02 20:48:24.000,258.27,10,PayPal
CUST0470,INV04257,2023-05-02 23:32:12.000,493.05,10,PayPal
CUST0248,INV04376,2023-05-03 00:23:29.000,321.67,4,Bank Transfer
CUST0196,INV02894,2023-05-03 03:54:59.000,461.36,5,Gift Card
CUST0029,INV00895,2023-05-03 04:15:58.000,250.28,6,Credit Card
CUST0277,INV00793,2023-05-03 05:28:55.000,487.98,9,Bank Transfer
CUST0192,INV03759,2023-05-03 12:21:36.000,346.47,1,PayPal
CUST0094,INV00911,2023-05-03 14:45:35.000,202.81,7,PayPal
CUST0338,INV04979,2023-05-03 20:57:48.000,464.90,3,PayPal
CUST0336,INV02341,2023-05-04 01:56:38.000,26.58,3,Gift Card
CUST0009,INV03589,2023-05-04 02:10:01.000,419.26,1,PayPal
CUST0496,INV00725,2023-05-04 03:06:38.000,198.24,4,Bank Transfer
CUST0215,INV02320,2023-05-04 04:22:44.000,287.62,5,Credit Card
CUST0299,INV04591,2023-05-04 16:06:28.000,395.02,6,Gift Card
CUST0027,INV01307,2023-05-04 16:12:55.000,342.37,6,Gift Card
CUST0228,INV03570,2023-05-04 23:21:44.000,414.82,3,PayPal
CUST0165,INV02375,2023-05-05 05:24:21.000,324.84,4,Credit Card
CUST0382,INV02302,2023-05-05 07:13:43.000,358.44,5,Credit Card
CUST0198,INV02835,2023-05-05 08:12:46.000,236.04,7,Credit Card
CUST0363,INV03790,2023-05-05 09:24:22.000,146.12,10,Credit Card
CUST0469,INV04708,2023-05-05 14:41:01.000,336.60,7,Bank Transfer
CUST0322,INV02928,2023-05-05 16:37:02.000,101.52,10,PayPal
CUST0357,INV04732,2023-05-05 18:15:05.000,431.01,5,PayPal
CUST0196,INV02727,2023-05-05 19:40:52.000,305.46,5,Credit Card
CUST0337,INV02794,2023-05-05 19:42:58.000,242.23,7,PayPal
CUST0413,INV00224,2023-05-05 20:42:58.000,371.67,6,Credit Card
CUST0116,INV02505,2023-05-06 01:32:52.000,123.36,9,Gift Card
CUST0438,INV00487,2023-05-06 04:29:14.000,21.32,4,Bank Transfer
CUST0492,INV00688,2023-05-06 05:37:32.000,337.67,9,Bank Transfer
CUST0422,INV00876,2023-05-06 05:54:39.000,157.91,5,Gift Card
CUST0125,INV02271,2023-05-06 15:38:48.000,326.28,2,Gift Card
CUST0371,INV03080,2023-05-06 15:52:32.000,468.24,10,Bank Transfer
CUST0334,INV02404,2023-05-06 20:22:47.000,113.00,2,Credit Card
CUST0344,INV02181,2023-05-07 02:11:24.000,143.26,4,PayPal
CUST0141,INV03913,2023-05-07 02:43:46.000,153.95,10,PayPal
CUST0270,INV04215,2023-05-07 10:08:35.000,453.97,6,Credit Card
CUST0388,INV02611,2023-05-07 13:41:39.000,249.01,5,Bank Transfer
CUST0353,INV04535,2023-05-07 20:44:17.000,333.81,10,PayPal
CUST0123,INV01398,2023-05-07 21:50:13.000,112.32,10,Credit Card
CUST0039,INV01878,2023-05-07 22:59:46.000,129.14,6,Gift Card
CUST0095,INV03979,2023-05-08 11:54:13.000,168.42,5,PayPal
CUST0196,INV04395,2023-05-08 16:04:09.000,222.06,7,PayPal
CUST0139,INV03301,2023-05-08 17:44:24.000,232.11,9,PayPal
CUST0112,INV02564,2023-05-08 21:31:28.000,229.27,9,Bank Transfer
CUST0356,INV00691,2023-05-08 21:39:55.000,462.20,5,Bank Transfer
CUST0423,INV01483,2023-05-09 02:41:09.000,15.09,2,Bank Transfer
CUST0375,INV03705,2023-05-09 03:16:49.000,29.55,9,Bank Transfer
CUST0357,INV02757,2023-05-09 16:17:54.000,255.89,10,Credit Card
CUST0075,INV02528,2023-05-09 18:10:14.000,272.28,6,Gift Card
CUST0339,INV02307,2023-05-09 23:21:54.000,359.99,5,PayPal
CUST0124,INV04582,2023-05-09 23:23:03.000,156.24,2,Bank Transfer
CUST0137,INV02746,2023-05-09 23:43:39.000,31.14,6,PayPal
CUST0371,INV03415,2023-05-10 04:07:42.000,41.74,9,Bank Transfer
CUST0427,INV00947,2023-05-10 08:36:09.000,190.05,4,Gift Card
CUST0284,INV02283,2023-05-10 09:24:24.000,382.82,3,PayPal
CUST0316,INV00671,2023-05-10 13:08:16.000,293.19,4,PayPal
CUST0459,INV00983,2023-05-10 15:58:01.000,84.08,9,Credit Card
CUST0493,INV04414,2023-05-10 17:16:51.000,222.48,8,Bank Transfer
CUST0004,INV03720,2023-05-10 23:05:17.000,243.26,5,Bank Transfer
CUST0018,INV01780,2023-05-11 00:08:48.000,137.90,7,PayPal
CUST0386,INV03635,2023-05-11 02:51:38.000,473.80,1,Gift Card
CUST0292,INV04100,2023-05-11 04:06:40.000,378.65,10,PayPal
CUST0029,INV02734,2023-05-11 04:08:04.000,422.10,1,Bank Transfer
CUST0308,INV04854,2023-05-11 15:16:32.000,141.71,1,Gift Card
CUST0248,INV03250,2023-05-11 16:20:35.000,407.96,9,Credit Card
CUST0205,INV00700,2023-05-11 19:04:47.000,243.35,8,PayPal
CUST0377,INV02073,2023-05-11 22:46:30.000,317.76,1,Credit Card
CUST0281,INV03361,2023-05-11 23:28:42.000,264.31,4,Bank Transfer
CUST0022,INV02706,2023-05-12 08:49:14.000,276.74,9,Credit Card
CUST0207,INV00272,2023-05-12 13:42:26.000,76.47,9,Credit Card
CUST0233,INV00178,2023-05-12 16:45:02.000,310.03,1,Bank Transfer
CUST0094,INV00235,2023-05-12 17:17:16.000,305.17,10,PayPal
CUST0231,INV02189,2023-05-12 19:24:55.000,379.31,3,Credit Card
CUST0483,INV04455,2023-05-13 00:22:27.000,211.69,1,Credit Card
CUST0112,INV04366,2023-05-13 01:24:43.000,305.84,3,PayPal
CUST0123,INV01099,2023-05-13 03:59:24.000,191.12,6,PayPal
CUST0183,INV03507,2023-05-13 10:08:51.000,488.84,10,Gift Card
CUST0421,INV02252,2023-05-13 13:49:19.000,145.77,10,Gift Card
CUST0012,INV02259,2023-05-13 18:14:22.000,281.32,6,PayPal
CUST0297,INV01422,2023-05-13 20:50:55.000,312.09,6,Bank Transfer
CUST0435,INV03995,2023-05-13 21:00:48.000,162.66,3,Credit Card
CUST0417,INV01688,2023-05-13 21:44:22.000,394.19,7,PayPal
CUST0271,INV00124,2023-05-14 01:37:46.000,483.30,6,Gift Card
CUST0456,INV02475,2023-05-14 14:23:28.000,282.34,9,Credit Card
CUST0320,INV02424,2023-05-14 15:15:11.000,106.17,4,Bank Transfer
CUST0435,INV04171,2023-05-15 00:41:43.000,412.61,8,Gift Card
CUST0401,INV01311,2023-05-15 05:09:23.000,406.88,9,PayPal
CUST0044,INV04566,2023-05-15 06:46:01.000,440.94,6,Bank Transfer
CUST0059,INV03388,2023-05-15 08:47:11.000,442.85,1,Gift Card
CUST0490,INV00789,2023-05-15 09:09:31.000,91.52,3,Bank Transfer
CUST0358,INV04101,2023-05-15 10:09:47.000,45.84,3,Bank Transfer
CUST0269,INV01921,2023-05-15 12:20:46.000,93.17,2,Credit Card
CUST0215,INV01951,2023-05-15 17:22:32.000,201.59,4,PayPal
CUST0260,INV00746,2023-05-15 19:47:08.000,117.45,4,Bank Transfer
CUST0151,INV00712,2023-05-15 20:24:00.000,238.81,2,Gift Card
CUST0239,INV03539,2023-05-15 20:40:09.000,306.68,3,Bank Transfer
CUST0374,INV01344,2023-05-15 22:08:16.000,365.88,6,PayPal
CUST0251,INV00133,2023-05-16 08:34:42.000,91.95,10,Credit Card
CUST0385,INV01111,2023-05-16 08:53:24.000,51.17,8,Bank Transfer
CUST0394,INV00660,2023-05-16 20:29:04.000,180.82,10,PayPal
CUST0075,INV01872,2023-05-16 21:01:00.000,160.05,6,Bank Transfer
CUST0279,INV03293,2023-05-16 21:37:30.000,301.31,7,Gift Card
CUST0474,INV02870,2023-05-16 23:37:46.000,355.02,6,Gift Card
CUST0123,INV04445,2023-05-17 08:59:52.000,471.07,9,Bank Transfer
CUST0052,INV00395,2023-05-17 15:52:11.000,149.72,2,PayPal
CUST0014,INV00864,2023-05-17 19:09:16.000,384.95,6,Gift Card
CUST0096,INV01977,2023-05-17 21:51:22.000,380.72,4,Bank Transfer
CUST0301,INV00229,2023-05-18 02:21:19.000,355.30,3,Credit Card
CUST0196,INV00456,2023-05-18 09:10:36.000,320.49,4,PayPal
CUST0095,INV00120,2023-05-19 02:06:09.000,101.33,7,Gift Card
CUST0065,INV02696,2023-05-19 07:13:45.000,431.41,9,Credit Card
CUST0223,INV04577,2023-05-19 08:40:39.000,181.75,6,Credit Card
CUST0329,INV02534,2023-05-19 11:41:17.000,226.57,4,Bank Transfer
CUST0048,INV01446,2023-05-19 12:07:56.000,22.56,1,PayPal
CUST0109,INV02373,2023-05-19 13:23:51.000,92.09,10,Gift Card
CUST0205,INV03922,2023-05-19 14:50:23.000,245.74,3,PayPal
CUST0412,INV00057,2023-05-19 16:40:43.000,383.23,9,PayPal
CUST0239,INV02299,2023-05-19 19:37:51.000,455.60,7,Credit Card
CUST0384,INV02235,2023-05-20 06:14:11.000,454.68,8,Gift Card
CUST0005,INV04709,2023-05-20 07:09:11.000,124.88,3,Credit Card
CUST0285,INV01813,2023-05-20 08:28:13.000,374.59,4,Gift Card
CUST0467,INV03292,2023-05-20 12:30:35.000,127.59,8,PayPal
CUST0494,INV04051,2023-05-20 16:27:55.000,220.66,1,Bank Transfer
CUST0152,INV03149,2023-05-21 01:17:26.000,335.40,3,Credit Card
CUST0144,INV03642,2023-05-21 08:56:30.000,141.97,6,Gift Card
CUST0493,INV04585,2023-05-21 11:42:11.000,138.79,2,Bank Transfer
CUST0499,INV00950,2023-05-21 15:21:18.000,237.13,4,PayPal
CUST0130,INV03165,2023-05-21 15:39:24.000,270.63,2,Bank Transfer
CUST0007,INV04798,2023-05-21 16:47:16.000,244.79,3,Gift Card
CUST0265,INV02468,2023-05-21 19:32:31.000,144.79,3,Gift Card
CUST0245,INV00431,2023-05-21 21:11:13.000,385.27,2,Bank Transfer
CUST0008,INV04526,2023-05-21 21:25:41.000,115.02,1,PayPal
CUST0168,INV02925,2023-05-22 13:31:34.000,13.94,3,Bank Transfer
CUST0334,INV02683,2023-05-22 13:35:02.000,439.67,5,Credit Card
CUST0052,INV02900,2023-05-22 15:49:03.000,236.72,9,Gift Card
CUST0116,INV03989,2023-05-23 01:06:19.000,123.50,5,PayPal
CUST0426,INV02146,2023-05-23 04:57:51.000,363.05,9,Credit Card
CUST0259,INV02049,2023-05-23 22:23:51.000,41.19,3,PayPal
CUST0063,INV03998,2023-05-23 22:34:02.000,477.84,4,Bank Transfer
CUST0043,INV03419,2023-05-24 07:05:53.000,403.05,3,PayPal
CUST0445,INV01213,2023-05-24 14:00:36.000,270.01,4,Bank Transfer
CUST0363,INV03420,2023-05-24 15:55:29.000,206.71,5,Gift Card
CUST0027,INV02145,2023-05-24 17:24:14.000,435.19,9,Gift Card
CUST0236,INV02304,2023-05-24 22:54:22.000,179.99,6,Bank Transfer
CUST0412,INV03138,2023-05-24 23:57:49.000,91.44,6,Gift Card
CUST0405,INV00517,2023-05-25 07:29:50.000,129.11,1,Gift Card
CUST0308,INV03709,2023-05-25 08:02:32.000,111.26,4,PayPal
CUST0398,INV02209,2023-05-25 11:51:33.000,354.98,8,PayPal
CUST0499,INV02983,2023-05-25 14:02:46.000,479.42,6,Credit Card
CUST0220,INV04089,2023-05-25 14:33:42.000,484.91,7,Bank Transfer
CUST0228,INV01057,2023-05-25 16:05:19.000,14.59,1,Bank Transfer
CUST0338,INV01133,2023-05-25 16:49:33.000,266.95,8,Credit Card
CUST0026,INV03069,2023-05-25 17:06:47.000,350.41,10,Gift Card
CUST0440,INV02408,2023-05-26 06:09:53.000,473.91,4,Gift Card
CUST0422,INV03847,2023-05-26 06:25:39.000,187.29,6,Bank Transfer
CUST0338,INV01062,2023-05-26 06:40:39.000,372.02,10,PayPal
CUST0368,INV03741,2023-05-26 11:22:00.000,278.53,7,Bank Transfer
CUST0366,INV04762,2023-05-26 17:50:22.000,461.33,3,PayPal
CUST0043,INV04622,2023-05-26 18:00:58.000,462.40,10,Gift Card
CUST0498,INV04557,2023-05-26 19:52:22.000,26.46,1,PayPal
CUST0333,INV01603,2023-05-27 00:30:29.000,384.45,2,Credit Card
CUST0393,INV00936,2023-05-27 00:47:42.000,289.69,7,Credit Card
CUST0461,INV01924,2023-05-27 01:46:12.000,452.41,3,Bank Transfer
CUST0016,INV03632,2023-05-27 02:00:00.000,261.46,9,Credit Card
CUST0065,INV01794,2023-05-27 02:15:13.000,366.13,8,Gift Card
CUST0221,INV02850,2023-05-27 05:27:00.000,215.65,4,Bank Transfer
CUST0332,INV04728,2023-05-27 07:58:57.000,426.99,8,Bank Transfer
CUST0225,INV04367,2023-05-27 08:33:56.000,406.27,2,PayPal
CUST0360,INV03532,2023-05-27 18:43:59.000,22.45,10,Gift Card
CUST0016,INV00275,2023-05-27 19:29:13.000,128.55,8,Gift Card
CUST0445,INV03915,2023-05-27 19:40:12.000,406.41,1,Credit Card
CUST0238,INV00113,2023-05-27 21:59:53.000,388.45,10,PayPal
CUST0226,INV01923,2023-05-28 04:11:50.000,75.86,10,Credit Card
CUST0328,INV00820,2023-05-28 04:54:03.000,468.80,9,PayPal
CUST0493,INV04085,2023-05-28 10:38:48.000,198.68,8,Gift Card
CUST0073,INV02411,2023-05-28 12:53:59.000,148.89,3,Gift Card
CUST0357,INV02621,2023-05-28 15:38:13.000,299.95,8,Credit Card
CUST0476,INV02725,2023-05-28 15:59:43.000,457.16,10,Gift Card
CUST0034,INV01075,2023-05-28 17:00:22.000,393.50,1,Gift Card
CUST0146,INV02352,2023-05-29 00:01:13.000,172.98,7,Credit Card
CUST0072,INV02295,2023-05-29 00:02:57.000,328.04,5,Gift Card
CUST0152,INV02141,2023-05-29 00:37:42.000,22.39,7,Credit Card
CUST0486,INV04295,2023-05-29 01:15:32.000,339.84,8,PayPal
CUST0347,INV02713,2023-05-29 04:59:04.000,184.11,7,Gift Card
CUST0458,INV01947,2023-05-29 06:30:10.000,243.51,6,PayPal
CUST0360,INV00913,2023-05-30 00:09:41.000,427.40,1,Gift Card
CUST0095,INV03945,2023-05-30 04:14:56.000,335.77,1,Bank Transfer
CUST0298,INV01376,2023-05-30 10:29:48.000,46.15,10,PayPal
CUST0165,INV00014,2023-05-30 18:36:54.000,149.85,1,Credit Card
CUST0318,INV02617,2023-05-30 22:00:07.000,444.19,7,Gift Card
CUST0269,INV02227,2023-05-31 14:33:57.000,336.30,10,Credit Card
CUST0018,INV04684,2023-05-31 17:40:59.000,316.15,8,Gift Card
CUST0144,INV04864,2023-05-31 20:38:26.000,226.00,9,Gift Card
CUST0011,INV03278,2023-05-31 21:05:07.000,375.60,2,Credit Card
CUST0349,INV02349,2023-06-01 00:18:24.000,332.75,9,Bank Transfer
CUST0015,INV04515,2023-06-01 01:27:54.000,95.02,3,Bank Transfer
CUST0055,INV04019,2023-06-01 05:28:27.000,299.52,6,Gift Card
CUST0107,INV03921,2023-06-01 07:42:13.000,417.55,5,Bank Transfer
CUST0001,INV03831,2023-06-01 07:56:54.000,92.61,10,Bank Transfer
CUST0095,INV04081,2023-06-01 13:41:46.000,422.43,7,Bank Transfer
CUST0301,INV02001,2023-06-01 17:41:47.000,164.08,1,Credit Card
CUST0363,INV03258,2023-06-01 18:47:24.000,176.79,2,Credit Card
CUST0196,INV01966,2023-06-01 21:30:03.000,30.63,2,Credit Card
CUST0031,INV02233,2023-06-01 23:22:04.000,378.66,1,Bank Transfer
CUST0165,INV00530,2023-06-02 02:33:00.000,64.13,9,Credit Card
CUST0028,INV02820,2023-06-02 03:35:25.000,414.67,4,Bank Transfer
CUST0249,INV00970,2023-06-02 05:31:15.000,261.54,10,Gift Card
CUST0155,INV03999,2023-06-02 17:09:11.000,281.22,3,Credit Card
CUST0278,INV03546,2023-06-02 18:07:51.000,336.10,7,Bank Transfer
CUST0458,INV01155,2023-06-02 23:05:50.000,340.77,4,Gift Card
CUST0131,INV03483,2023-06-03 02:05:27.000,87.80,2,Credit Card
CUST0290,INV01544,2023-06-03 03:00:45.000,245.92,6,Credit Card
CUST0409,INV03541,2023-06-03 07:57:31.000,340.95,9,Credit Card
